rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/entropy_loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_range,train/clip_fraction,train/learning_rate,train/loss,train/policy_gradient_loss,train/n_updates
9.0,20209,8192,1,101.0,0,,,,,,,,,,
9.0,7664,16384,2,101.0,2,-0.6870713456999511,0.021989129079338456,0.009714846,0.09958148002624512,0.2,0.0418701171875,0.003,-0.0029959764797240496,-0.0012228027280798415,10
9.0,6401,24576,3,101.0,3,-0.669566401373595,0.007048480255389222,0.010468841,0.8093251883983612,0.2,0.11422119140625,0.003,0.03727345168590546,-0.003109698842672515,20
9.0,5904,32768,4,101.0,5,-0.6782235621474684,0.003070812260875755,0.006895747,0.9392062984406948,0.2,0.05609130859375,0.003,0.01579967513680458,-0.0006451204480981687,30
9.0,5647,40960,5,101.0,7,-0.6812017459888011,0.002572898169387372,0.01163067,0.9801241979002953,0.2,0.10760498046875,0.003,-0.014722886495292187,-0.0015846674676140537,40
9.0,5477,49152,6,101.0,8,-0.6844852284993976,0.001947566276157886,0.0031641168,0.9932199846953154,0.2,0.01807861328125,0.003,-0.008728151209652424,0.00042504251723585185,50
9.0,5354,57344,7,101.0,10,-0.6870720078703016,0.001553138342865168,0.0047042295,0.9982340569840744,0.2,0.01678466796875,0.003,0.0016466870438307524,7.1727153226675e-05,60
9.0,5281,65536,8,101.0,12,-0.6921763916499912,0.0012878275142838903,0.014408731,0.9995974827324972,0.2,0.167724609375,0.003,-0.04663698375225067,-0.009902239558687142,70
9.0,5227,73728,9,101.0,14,-0.6717368587385864,0.002581291346677972,0.017383905,0.9993568102363497,0.2,0.16644287109375,0.003,-0.0553031861782074,-0.012835430644736334,80
9.0,5175,81920,10,101.0,15,-0.6327401823364198,0.004844935019082186,0.010106918,0.9981931069632992,0.2,0.11793212890625,0.003,0.006360497325658798,-0.007204832048955723,90
8.985,5138,90112,11,100.85,17,-0.5978736403863877,0.01339375766037847,0.011921959,0.9962935545481741,0.2,0.13187255859375,0.003,0.011632461100816727,-0.006397232521703699,100
7.155000000000001,5108,98304,12,82.55,19,-0.5038765571080148,0.06302842499499092,0.010889369,0.9817746561020613,0.2,0.07216796875,0.003,0.00850512832403183,-0.004256168793835969,110
8.505,5073,106496,13,96.05,20,-0.4904602987458929,0.40990505628287793,0.033550184,0.7671830654144287,0.2,0.2048583984375,0.003,0.21272335946559906,-0.028014062222791836,120
9.001,5050,114688,14,100.83,22,-0.4478240787284449,0.1404113646814949,0.0077872425,0.9675496071577072,0.2,0.06824951171875,0.003,0.05851101130247116,0.0002324678000604763,130
