time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,train/clip_range,train/explained_variance,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/value_loss
0,2048,9.0,101.0,6107,1,,,,,,,,,,
1,4096,9.0,101.0,3894,2,0.2,0.15390729904174805,0.023422468453645706,0.012437478,0.022216796875,10,0.0003,-0.00449722622288391,-0.6822261620312929,0.13790784879383863
1,6144,9.0,101.0,3573,3,0.2,0.7995504438877106,0.008461827412247658,0.012932371,0.150830078125,20,0.0003,-0.006840117492538411,-0.6911243492737412,0.055002688299282454
2,8192,9.0,101.0,3416,4,0.2,0.9341437146067619,-0.016106558963656425,0.008596858,0.00625,30,0.0003,-0.0017254096892429516,-0.6882983667775988,0.021791358214977664
3,10240,9.0,101.0,3330,5,0.2,0.9767176918685436,-0.0003597559407353401,0.007743849,0.005859375,40,0.0003,-0.001195620074577164,-0.6913484720513224,0.012788631425792119
3,12288,9.0,101.0,3273,6,0.2,0.991651451215148,-0.00660116458311677,0.013969707,0.00712890625,50,0.0003,-0.0007998041939572432,-0.6834072472527624,0.006357120021857554
4,14336,9.0,101.0,3227,7,0.2,0.9971362149808556,0.01528291404247284,0.019697607,0.18349609375,60,0.0003,-0.005868974425538909,-0.6908565772697329,0.00346280578742153
5,16384,9.0,101.0,3195,8,0.2,0.997690696734935,-0.026034388691186905,0.018228717,0.157763671875,70,0.0003,-0.014345078360202023,-0.6744017275050282,0.0058571871388267025
5,18432,9.0,101.0,3182,9,0.2,0.9977991161867976,-0.02196718379855156,0.013965725,0.151708984375,80,0.0003,-0.009629659436177463,-0.6287073291838169,0.007432855144725181
6,20480,9.0,101.0,3172,10,0.2,0.9966580080799758,-0.01630289852619171,0.010281975,0.1578125,90,0.0003,-0.010813259391579778,-0.5669694017618895,0.01204115227155853
7,22528,9.0,101.0,3163,11,0.2,0.989540652371943,0.020965388044714928,0.008039279,0.1044921875,100,0.0003,-0.0089855125232134,-0.48960947841405866,0.037867265529348514
7,24576,8.947000000000001,100.47,3155,12,0.2,0.9836096856743097,-0.000790594145655632,0.00502613,0.0734375,110,0.0003,-0.007789737183338729,-0.44259668085724113,0.05505636335583404
8,26624,8.685,97.85,3145,13,0.2,0.9352652505040169,0.0711812973022461,0.0043832064,0.07451171875,120,0.0003,-0.004703648990835063,-0.3809782969765365,0.2514935957733542
9,28672,8.692,97.92,3139,14,0.2,0.858673632144928,0.24325020611286163,0.017835679,0.047265625,130,0.0003,-0.006840383281814866,-0.4140815476886928,0.41949975248426197
9,30720,8.693,97.93,3135,15,0.2,0.9769394621253014,0.02065916731953621,0.0032402305,0.04775390625,140,0.0003,-0.002992003627878148,-0.3535779872909188,0.06782026225700974
10,32768,8.549000000000001,96.4,3131,16,0.2,0.9806601498275995,0.05517125129699707,0.0031128414,0.031103515625,150,0.0003,-0.0022159494968946093,-0.30420025400817396,0.08093723109923304
11,34816,8.83,98.67,3126,17,0.2,0.8718370944261551,0.3684861361980438,0.0112208305,0.057470703125,160,0.0003,-0.00867590265297622,-0.29188088909722865,0.5250574458856135
11,36864,9.1,101.28,3124,18,0.2,0.9207117632031441,0.11922955513000488,0.0012042412,0.016455078125,170,0.0003,-0.0017971930807107127,-0.23356726551428436,0.1985040597617626
12,38912,9.135,101.54,3123,19,0.2,0.9545118845999241,0.05021516978740692,0.0020447262,0.03115234375,180,0.0003,-0.0020547215768601744,-0.2059697528835386,0.17630235208198428
13,40960,9.342,103.07,3122,20,0.2,0.9621447548270226,0.056577056646347046,0.0017910253,0.034130859375,190,0.0003,-0.002116476801893441,-0.17792404210194945,0.17330054629128427
13,43008,9.491,104.47,3120,21,0.2,0.9273022338747978,0.11121460050344467,0.0018380587,0.02685546875,200,0.0003,-0.002387723722495139,-0.1738730227109045,0.2594943335046992
14,45056,9.249,102.5,3119,22,0.2,0.909207709133625,0.20184290409088135,0.002874453,0.030029296875,210,0.0003,-0.0024978682318760547,-0.16186299952678382,0.36487815650179983
15,47104,9.455,104.2,3117,23,0.2,0.9084096252918243,0.1582062840461731,0.0036609964,0.047265625,220,0.0003,-0.00627203955227742,-0.1911357537144795,0.3669128001667559
15,49152,9.601,105.3,3115,24,0.2,0.9021193981170654,0.24350714683532715,0.00071655144,0.01845703125,230,0.0003,-0.0009316466050222516,-0.17760568135417998,0.3779171783942729
16,51200,9.659,105.7,3104,25,0.2,0.9124675393104553,0.20824705064296722,0.0010132454,0.017919921875,240,0.0003,-0.0013330950896488503,-0.1662044303258881,0.33755306005477903
17,53248,9.782,106.75,3088,26,0.2,0.9229897111654282,0.1684817224740982,0.0008604737,0.01005859375,250,0.0003,5.8876234106719494e-05,-0.16095514674670994,0.29093634244054556
18,55296,10.14,109.7,3059,27,0.2,0.912210263311863,0.11279790848493576,0.0021813,0.02412109375,260,0.0003,-0.0039405049275956115,-0.15746143751312047,0.34260312328115106
18,57344,10.608000000000002,113.39,3049,28,0.2,0.8843230158090591,0.11350658535957336,0.0017055171,0.016455078125,270,0.0003,-0.0018424935606162762,-0.13920090603642166,0.4267605563625693
19,59392,10.733000000000002,114.28,3041,29,0.2,0.8498476296663284,0.16964790225028992,0.001783191,0.01337890625,280,0.0003,-0.0009780478139873594,-0.12532317085424438,0.5226759786717594
20,61440,10.739,114.52,3036,30,0.2,0.8303873091936111,0.2280929833650589,0.0021439944,0.0302734375,290,0.0003,-0.0019214242493035272,-0.15143783311359585,0.5465478901751339
20,63488,10.664000000000001,114.13,3028,31,0.2,0.8638535439968109,0.19019846618175507,0.0026653847,0.0306640625,300,0.0003,-0.004841662727994844,-0.14500255063176154,0.4636700386414304
21,65536,10.963,116.49,3016,32,0.2,0.8882528021931648,0.13415230810642242,0.0024359832,0.015966796875,310,0.0003,-0.0017181102521135472,-0.11014502672478557,0.4005901745520532
22,67584,10.963,116.58,3009,33,0.2,0.8812880963087082,0.18647080659866333,0.0009947314,0.011962890625,320,0.0003,4.985320556443185e-05,-0.10600148200755939,0.476496275793761
23,69632,10.97,116.65,3009,34,0.2,0.8443292826414108,0.20787926018238068,0.0009802559,0.015087890625,330,0.0003,-0.0007305753715627361,-0.09901151764206588,0.5731887017842382
23,71680,11.014,117.0,3008,35,0.2,0.8387139141559601,0.37401267886161804,0.00077922666,0.0146484375,340,0.0003,-0.0002568832533142995,-0.09774139081127942,0.4949706533923745
24,73728,11.275,119.07,3007,36,0.2,0.868115171790123,0.2628117799758911,0.005128164,0.035400390625,350,0.0003,-0.002871570410206914,-0.11859994254773483,0.5075924896635116
25,75776,11.423000000000002,120.1,3001,37,0.2,0.8621060401201248,0.19008560478687286,0.002382956,0.03056640625,360,0.0003,-0.001969742692017462,-0.11504389243200422,0.5176728493999689
25,77824,11.453,120.4,2994,38,0.2,0.8414328843355179,0.2792312502861023,0.0030916291,0.034423828125,370,0.0003,-0.002322003152221441,-0.12244539817329496,0.5439541173167527
26,79872,11.391000000000002,119.87,2992,39,0.2,0.8426650613546371,0.18622085452079773,0.0014187763,0.022216796875,380,0.0003,-0.0009701642775326036,-0.1031915977364406,0.6280541196465492
27,81920,11.483999999999998,120.62,2991,40,0.2,0.8366662859916687,0.3454526662826538,0.002210929,0.012158203125,390,0.0003,0.00014528170431731268,-0.10606667657848448,0.6805285603739322
28,83968,11.419999999999998,119.98,2991,41,0.2,0.8565114587545395,0.3729458451271057,0.001667888,0.023095703125,400,0.0003,-0.0025482387594820467,-0.1142748216399923,0.5705751701258123
28,86016,11.463000000000001,120.23,2991,42,0.2,0.8495495170354843,0.2884450852870941,0.002036768,0.02373046875,410,0.0003,-0.0025732955764397047,-0.10054779921192676,0.5957989504095167
29,88064,11.482000000000001,120.42,2989,43,0.2,0.8722289055585861,0.1627870351076126,0.00085106737,0.01552734375,420,0.0003,-0.0003204462889698334,-0.10141708051087335,0.4953824071213603
30,90112,11.443,119.94,2990,44,0.2,0.9008258059620857,0.25397223234176636,0.0014979675,0.0216796875,430,0.0003,-0.0004841642228711862,-0.09554913683095947,0.4289339222479612
30,92160,11.618999999999998,121.25,2992,45,0.2,0.8930077105760574,0.2720755636692047,0.0042305943,0.02099609375,440,0.0003,-0.0010713679192122072,-0.08480513164249714,0.4409708964638412
31,94208,12.343,127.05,2994,46,0.2,0.8772680908441544,0.24101056158542633,0.000981797,0.011962890625,450,0.0003,-0.0002446388200041838,-0.0831603818689473,0.4346604965627193
32,96256,12.361999999999998,127.33,2994,47,0.2,0.7871697396039963,0.3108683228492737,0.0039615426,0.01953125,460,0.0003,-0.0003452127020864282,-0.10304305104073137,0.6580267760902643
32,98304,12.737,130.36,2994,48,0.2,0.8270321637392044,0.2372189611196518,0.00069377583,0.01875,470,0.0003,-0.0015417466973303817,-0.08919911748962477,0.5514282775111496
33,100352,12.764,130.63,2994,49,0.2,0.8324085474014282,0.18694816529750824,0.0010799266,0.023486328125,480,0.0003,-0.0017143790333648211,-0.08529990466195159,0.6584627953357994
34,102400,13.021,132.66,2992,50,0.2,0.8461107313632965,0.20442642271518707,0.00131934,0.015380859375,490,0.0003,-0.0010753179085440934,-0.09028684790246189,0.611393847130239
34,104448,13.056,133.01,2994,51,0.2,0.8229448050260544,0.39017075300216675,0.0009530316,0.021875,500,0.0003,-0.0013642236073792447,-0.09387444066815079,0.6451033480465412
35,106496,13.127,133.72,2993,52,0.2,0.8751448392868042,0.2048647552728653,0.0023292769,0.023046875,510,0.0003,-0.0005367349069274497,-0.07458745065378025,0.4553058671299368
36,108544,12.775,130.83,2994,53,0.2,0.8357623070478439,0.3109239935874939,0.0030942305,0.027587890625,520,0.0003,-0.0006496089004940586,-0.09675423045409844,0.6361767869442702
36,110592,12.724,130.41,2995,54,0.2,0.8769212439656258,0.20112453401088715,0.001093168,0.02158203125,530,0.0003,-0.0010106328933034091,-0.1065715015050955,0.49874018696136774
37,112640,12.641000000000002,129.49,2996,55,0.2,0.8861105963587761,0.2376263439655304,0.0015281329,0.02265625,540,0.0003,-0.0005314274923875928,-0.11063695509219543,0.466919672023505
38,114688,12.95,131.95,2997,56,0.2,0.9038155451416969,0.16360710561275482,0.003292006,0.02021484375,550,0.0003,-0.0012478029500925913,-0.08838241018238477,0.39525160221382977
38,116736,13.229,134.11,2997,57,0.2,0.8908628597855568,0.15957626700401306,0.0016625236,0.023828125,560,0.0003,-0.000330132435192354,-0.08344500128878281,0.4475617417600006
39,118784,13.348999999999998,134.95,2999,58,0.2,0.8579640835523605,0.23583534359931946,0.0013713322,0.0228515625,570,0.0003,-0.0010342234374547843,-0.08679497683770024,0.5350819647312164
40,120832,13.802999999999999,138.68,2999,59,0.2,0.8731689751148224,0.2680806815624237,0.003460262,0.025146484375,580,0.0003,-0.0014974915640777909,-0.0916856166382786,0.4359421709086746
40,122880,14.130999999999998,141.06,3000,60,0.2,0.7392468452453613,0.2400379776954651,0.004361833,0.0408203125,590,0.0003,-0.0007370934406935703,-0.10656886309152469,0.7872918194159866
41,124928,14.345999999999998,142.85,3000,61,0.2,0.850680947303772,0.32251042127609253,0.0028387695,0.032958984375,600,0.0003,-0.0016181760765903164,-0.09098831026349216,0.5942010725848377
42,126976,14.478000000000002,144.17,3002,62,0.2,0.9196972548961639,0.16126246750354767,0.0018784427,0.016552734375,610,0.0003,-0.0012086089918739162,-0.0856195281026885,0.32374092356767503
42,129024,14.426999999999998,143.84,3002,63,0.2,0.893096812069416,0.17133834958076477,0.0032849542,0.02216796875,620,0.0003,0.0005909940398851176,-0.10108731957152486,0.46892666136845945
43,131072,14.245,142.38,3001,64,0.2,0.8612406104803085,0.32203564047813416,0.0024484908,0.037646484375,630,0.0003,-0.002174088033643784,-0.10586973591707646,0.6031420287210494
44,133120,14.442,144.08,3002,65,0.2,0.8489303290843964,0.4171992242336273,0.0017436384,0.028369140625,640,0.0003,-0.0008461248471576255,-0.11119143714895471,0.684175017196685
45,135168,14.016999999999998,140.55,3002,66,0.2,0.8764496818184853,0.1164044737815857,0.002970412,0.026806640625,650,0.0003,0.0003436964747379534,-0.08854199412744493,0.4584194027353078
45,137216,13.988999999999999,140.54,3003,67,0.2,0.8764087334275246,0.3128960132598877,0.003760001,0.030029296875,660,0.0003,-0.0025182411485729973,-0.0870172851078678,0.5577999146655201
46,139264,14.099,141.55,3004,68,0.2,0.8096181005239487,0.34906330704689026,0.0011913825,0.0267578125,670,0.0003,0.000953632032542373,-0.09074829691671767,0.7856708490289748
47,141312,13.993,140.58,3005,69,0.2,0.7763085514307022,0.5518083572387695,0.011460563,0.0376953125,680,0.0003,-6.593447324121371e-06,-0.09846294007729739,0.8184354799799621
47,143360,14.198,142.18,3004,70,0.2,0.7954239845275879,0.20387692749500275,0.0045854105,0.040185546875,690,0.0003,-0.0019438871313468553,-0.10201689443783835,0.7251018337905407
48,145408,14.394,143.87,3004,71,0.2,0.8088338673114777,0.5096257328987122,0.0018200716,0.0388671875,700,0.0003,-0.0013160329704987816,-0.09569700823631137,0.7265204616822303
