time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/learning_rate,train/explained_variance,train/n_updates,train/value_loss,train/loss,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range
0,9.0,20077,101.0,8192,1,,,,,,,,,,
2,9.0,7711,101.0,16384,2,0.0009967232,0.2599698305130005,10,0.02967492562102052,0.011837298050522804,0.013309949,-0.6822890791576356,-0.0012579563535837224,0.03577880859375,0.2
3,9.0,6406,101.0,24576,3,0.0009934464,0.8413131237030029,20,0.007896660379265086,-0.003929708618670702,0.009753653,-0.6615019937511534,-0.0004500705537793692,0.05250244140625,0.2
5,9.0,5920,101.0,32768,4,0.0009901696,0.9482330530881882,30,0.002479654640865192,0.007505873683840036,0.011768619,-0.6277921999339015,-2.7700214559445156e-06,0.09615478515625,0.2
7,9.0,5669,101.0,40960,5,0.0009868928000000001,0.9830759577453136,40,0.002435125607792088,-0.0029647764749825,0.004433222,-0.6025933287572116,0.0005419179560703924,0.03328857421875,0.2
8,9.0,5503,101.0,49152,6,0.000983616,0.9940407290123403,50,0.0011388747477667494,0.004979284945875406,0.006892814,-0.5620320805115625,0.00022244353531277738,0.07427978515625,0.2
10,9.0,5398,101.0,57344,7,0.0009803392,0.9984545460902154,60,0.0004413741131656934,0.00822727382183075,0.004013028,-0.6055034339427948,-0.0005103284092911053,0.04017333984375,0.2
12,9.0,5321,101.0,65536,8,0.0009770624,0.9993097193655558,70,0.0016782892003334381,-0.00017138273688033223,0.00969754,-0.6287799426354468,-0.0028467943787291007,0.09471435546875,0.2
14,9.0,5263,101.0,73728,9,0.0009737856,0.9996893799398094,80,0.0012265980885104,-0.010101704858243465,0.0061550955,-0.611261026468128,-0.003518927388176962,0.060595703125,0.2
15,9.0,5213,101.0,81920,10,0.0009705088,0.9998035531316418,90,0.0007653507914199053,0.005095636937767267,0.006162561,-0.6245045365300029,-0.005313448610559135,0.06756591796875,0.2
17,9.0,5176,101.0,90112,11,0.000967232,0.9997057001164649,100,0.0013201951546420788,-0.004274831153452396,0.0057509216,-0.6379057670943439,-0.004478393913450418,0.04940185546875,0.2
19,9.0,5140,101.0,98304,12,0.0009639552,0.9995001529459842,110,0.002339101552206557,0.004637725651264191,0.008002915,-0.6304214644711464,-0.006365497368187789,0.0824462890625,0.2
20,9.005,5108,101.05,106496,13,0.0009606784000000001,0.9995336426072754,120,0.0019841258119868144,-0.02148730494081974,0.007557337,-0.6218237107619643,-0.008223750386423489,0.1069091796875,0.2
22,9.02,5086,101.2,114688,14,0.0009574016,0.9995293614920229,130,0.0019051069526312859,-0.011582574807107449,0.01079089,-0.5982941423542798,-0.011352500105567742,0.1592041015625,0.2
24,9.033000000000001,5067,101.33,122880,15,0.0009541248,0.9989205681486055,140,0.003994099514875416,-0.014777746051549911,0.013627823,-0.5601396852172911,-0.008951299022373859,0.13060302734375,0.2
25,8.774,5050,98.74,131072,16,0.000950848,0.99343614699319,150,0.011715126280978438,-0.01233711652457714,0.028150514,-0.4954729444812983,-0.011812816580641084,0.18121337890625,0.2
27,8.908999999999999,5022,100.09,139264,17,0.0009475712000000001,0.9436697661876678,160,0.14644572716060794,0.011020924896001816,0.015197892,-0.42952985358424484,-0.011968865455855848,0.118994140625,0.2
29,9.177999999999999,4995,102.78,147456,18,0.0009442944,0.9769580345600843,170,0.09597474784677615,0.02701115980744362,0.0070207054,-0.37111422936432065,-0.0024968869160147734,0.0676513671875,0.2
31,9.193000000000001,4978,102.75,155648,19,0.0009410176,0.9699431918561459,180,0.12361427390715107,0.05922359973192215,0.0064379713,-0.34031902846181766,-0.0037522232326409723,0.07471923828125,0.2
33,9.199,4950,102.81,163840,20,0.0009377408000000001,0.9697951525449753,190,0.1326884217240149,0.06257185339927673,0.0044951756,-0.3236716677201912,-0.0008018833763344446,0.054052734375,0.2
34,9.126999999999999,4929,102.09,172032,21,0.000934464,0.9628160037100315,200,0.16550049706711434,0.08250800520181656,0.0047184443,-0.3214425530983135,7.188984473032179e-05,0.058837890625,0.2
